geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2009,F,Y55-59,ED0-2,90.7,Austria,83.2
AT,2009,F,Y60-64,TOTAL,230,Austria,83.2
AT,2009,F,Y15-19,TOTAL,242.8,Austria,83.2
AT,2009,F,Y15-59,TOTAL,2564.7,Austria,83.2
AT,2009,F,Y25-49,ED0-2,280.1,Austria,83.2
AT,2009,F,Y65-69,TOTAL,249.9,Austria,83.2
AT,2009,F,Y45-49,ED0-2,79.7,Austria,83.2
AT,2009,F,Y15-74,ED0-2,990.6,Austria,83.2
AT,2009,F,Y50-54,TOTAL,289.6,Austria,83.2
AT,2009,F,Y15-64,ED3_4,1612.8,Austria,83.2
AT,2009,F,Y20-64,ED0-2,584.7,Austria,83.2
AT,2009,F,Y15-64,ED5-8,398.3,Austria,83.2
AT,2009,F,Y35-39,ED0-2,58.6,Austria,83.2
AT,2009,F,Y25-64,ED5-8,384,Austria,83.2
AT,2009,F,Y55-59,ED5-8,28.7,Austria,83.2
AT,2009,F,Y60-64,ED3_4,118.5,Austria,83.2
AT,2009,F,Y40-64,ED0-2,418.5,Austria,83.2
AT,2009,F,Y15-59,ED0-2,694,Austria,83.2
AT,2009,F,Y50-59,ED5-8,71.4,Austria,83.2
AT,2009,F,Y40-59,ED3_4,713.5,Austria,83.2
AT,2009,F,Y65-69,ED5-8,18.9,Austria,83.2
AT,2009,F,Y50-64,ED3_4,405.4,Austria,83.2
AT,2009,F,Y25-74,ED3_4,1550.1,Austria,83.2
AT,2009,F,Y40-64,ED3_4,832,Austria,83.2
AT,2009,F,Y15-59,ED3_4,1494.3,Austria,83.2
AT,2009,F,Y25-59,TOTAL,2068.1,Austria,83.2
AT,2009,F,Y15-74,TOTAL,3215.2,Austria,83.2
AT,2009,F,Y15-64,ED0-2,783.7,Austria,83.2
AT,2009,F,Y25-64,ED0-2,549.1,Austria,83.2
AT,2009,F,Y25-54,ED0-2,368.7,Austria,83.2
