unit,sex,statinfo,geography,date,value
YR,F,LE_0,EL,2013,84.0
YR,F,LE_0,ES,2013,86.1
YR,F,LE_0,EU27_2020,2013,83.3
YR,F,LE_0,EU28,2013,83.3
YR,F,LE_0,FI,2013,
YR,F,LE_0,FR,2013,85.6
YR,F,LE_0,HR,2013,81.0
YR,F,LE_0,HU,2013,79.1
YR,F,LE_0,IE,2013,83.1
YR,F,LE_0,IS,2013,83.7
YR,F,LE_0,IT,2013,85.2
YR,F,LE_0,LT,2013,79.6
YR,F,LE_0,LU,2013,83.9
YR,F,LE_0,LV,2013,78.9
YR,F,LE_0,MT,2013,84.0
YR,F,LE_0,NL,2013,83.2
YR,F,LE_0,NO,2013,83.8
YR,F,LE_0,PL,2013,81.2
YR,F,LE_0,PT,2013,84.0
YR,F,LE_0,RO,2013,78.7
YR,F,LE_0,SE,2013,83.8
YR,F,LE_0,SI,2013,83.6
YR,F,LE_0,SK,2013,80.1
YR,F,LE_0,UK,2013,82.9
YR,M,LE_0,AT,2013,78.6
YR,M,LE_0,BE,2013,78.1
YR,M,LE_0,BG,2013,71.3
YR,M,LE_0,CH,2013,80.7
YR,M,LE_0,CY,2013,80.1
YR,M,LE_0,CZ,2013,75.2
YR,M,LE_0,DE,2013,78.1
YR,M,LE_0,DK,2013,78.3
YR,M,LE_0,EE,2013,72.8
YR,M,LE_0,EL,2013,78.7
YR,M,LE_0,ES,2013,80.2
YR,M,LE_0,EU27_2020,2013,77.5
YR,M,LE_0,EU28,2013,77.7
YR,M,LE_0,FI,2013,
YR,M,LE_0,FR,2013,79.0
YR,M,LE_0,HR,2013,74.5
YR,M,LE_0,HU,2013,72.2
YR,M,LE_0,IE,2013,78.9
YR,M,LE_0,IS,2013,80.5
YR,M,LE_0,IT,2013,80.3
YR,M,LE_0,LT,2013,68.5
YR,M,LE_0,LU,2013,79.8
YR,M,LE_0,LV,2013,69.3
YR,M,LE_0,MT,2013,79.6
YR,M,LE_0,NL,2013,79.5
YR,M,LE_0,NO,2013,79.8
YR,M,LE_0,PL,2013,73.0
YR,M,LE_0,PT,2013,77.6
YR,M,LE_0,RO,2013,71.6
YR,M,LE_0,SE,2013,80.2
YR,M,LE_0,SI,2013,77.2
YR,M,LE_0,SK,2013,72.9
YR,M,LE_0,UK,2013,79.2
YR,F,LE_0,AT,2014,84.0
YR,F,LE_0,BE,2014,83.9
YR,F,LE_0,BG,2014,78.0
YR,F,LE_0,CH,2014,85.4
YR,F,LE_0,CY,2014,84.3
